economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Faroe Islands,FRO,2014,Europe & Central Asia,,,,0.759591507007471,0.5444236536007291,-0.06779511121774444,1.3896143052996088,0.24230374517204029,-0.9403968217189527,0.3212902130238587,6,17,8,17,0.47058823529411764,0.3212902130238587,Low
Fiji,FJI,2014,East Asia & Pacific,East Asia & Pacific (excluding high income),,,0.038442584109007916,0.7195822474050494,-0.38186603575608286,0.6151812870053519,0.29020835885171736,-0.8519977899487609,0.07159177527771378,6,17,14,17,0.8235294117647058,0.07159177527771378,High
Finland,FIN,2014,Europe & Central Asia,,,,0.8136496585215477,1.2196710122238863,0.28876439055709857,1.5502027001972063,-0.10967993838576684,-0.8522624587063611,0.4850575607346019,6,17,15,17,0.8823529411764706,0.4850575607346019,High
France,FRA,2014,Europe & Central Asia,,,,0.6074414596421844,0.765452166102739,0.2858751779446563,1.5480897763947266,-0.21328643890325816,-0.877030580749306,0.3527569267386237,6,17,15,17,0.8823529411764706,0.3527569267386237,High
French Polynesia,PYF,2014,East Asia & Pacific,,,,0.268723456873434,0.5444236536007291,-0.06428653702749436,1.4962583900971111,-0.2743621702802483,-0.9418103082556013,0.17149108083465506,6,17,9,17,0.5294117647058824,0.17149108083465506,Low
Gabon,GAB,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,0.3682012554044369,0.5444236536007291,-0.11806884763712572,0.4552146417019081,-0.10355827330338063,-1.0177208345711222,0.021415265865907585,6,17,11,17,0.6470588235294118,0.021415265865907585,Medium
"Gambia, The",GMB,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.04334653198705848,0.5444236536007291,-0.660178994924091,0.20883527078455658,-0.2944516550022449,-1.0598493620597647,-0.2174279365979789,6,17,12,17,0.7058823529411765,-0.2174279365979789,Medium
Georgia,GEO,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.4965578757426639,0.7744764503881959,-0.06332132599918956,1.1241249566949327,0.12773710896402707,-1.0096201637956028,0.2416591503325045,6,17,17,17,1.0,0.2416591503325045,High
Germany,DEU,2014,Europe & Central Asia,,,,0.7316508675761005,0.7877149710350954,0.3007339856657873,1.5554561219999243,-0.06394691211119552,-0.890326260611642,0.4035471289256784,6,17,15,17,0.8823529411764706,0.4035471289256784,High
Ghana,GHA,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.003680483121414594,0.22718537094545457,-0.5476378960653868,-0.2894896317297743,-0.1985247662328186,-0.9796623814787223,-0.298634964613777,6,17,15,17,0.8823529411764706,-0.298634964613777,High
