year,economy,mean_rank,sd_rank,top_k_freq
2023,Israel,32.744,0.4810296853967868,0.0
2023,Italy,5.088,0.28386319460791704,1.0
2023,Japan,7.248,0.5400580067015113,1.0
2023,Malaysia,35.776,0.4545883878957303,0.0
2023,Mexico,21.96,0.6196254860574151,0.0
2023,Netherlands,3.0,0.0,1.0
2023,New Zealand,26.42,0.6173528148408878,0.0
2023,Nigeria,45.988,0.10910368672886987,0.0
2023,Norway,28.44,0.6065241017006456,0.0
2023,Pakistan,44.988,0.10910368672886987,0.0
2023,Peru,43.96,0.196352277469526,0.0
2023,Philippines,38.864,0.36611495550246215,0.0
2023,Poland,17.176,0.9447721299392992,1.0
2023,Portugal,25.192,0.6234506901529655,0.0
2023,Romania,33.768,0.4593692200412263,0.0
2023,Russian Federation,29.564,0.5720252192042081,0.0
2023,Singapore,4.02,0.14028084280983558,1.0
2023,South Africa,40.932,0.26769880575454336,0.0
2023,Spain,6.168,0.4152900955402322,1.0
2023,Sweden,23.012,0.6175609493033193,0.0
2023,Switzerland,12.512,2.3098044911092783,1.0
2023,Thailand,24.188,0.6278797111922855,0.0
2023,Türkiye,15.94,0.9141897898617932,1.0
2023,United Arab Emirates,10.568,0.7587349437448084,1.0
2023,United Kingdom,14.66,5.691570600775716,0.908
2023,United States,18.248,2.100510551821449,0.964
2023,Viet Nam,36.84,0.40873985992605266,0.0
2024,Argentina,43.932,0.28230263745928075,0.0
2024,Australia,14.336,0.790952859342964,1.0
2024,Austria,13.06,0.7501003948870035,1.0
2024,Bangladesh,47.952,0.21419504679681328,0.0
2024,Belgium,8.84,0.7646822580806314,1.0
2024,Brazil,26.04,1.2050762778103987,0.0
2024,Canada,11.9,0.7564979554674988,1.0
2024,Chile,40.92,0.34941143858444973,0.0
2024,China,9.24,4.477341437212659,1.0
2024,Colombia,39.904,0.3890881111431335,0.0
2024,Czech Republic,29.524,0.9103510069326519,0.0
2024,Denmark,17.636,0.9136976378944927,0.988
2024,Egypt,33.704,0.7059585753003935,0.0
2024,Finland,38.804,0.5575188868881016,0.0
2024,France,1.0,0.0,1.0
2024,Germany,2.0,0.0,1.0
2024,Greece,19.548,1.264155193563534,0.736
2024,India,23.892,3.2868754464997925,0.228
2024,Indonesia,32.672,0.7474293293747849,0.0
2024,Iraq,46.948,0.2398460014627527,0.0
2024,Ireland,10.892,0.7606908717801463,1.0
2024,Israel,31.672,0.7474293293747828,0.0
2024,Italy,5.452,0.6823182783215813,1.0
2024,Japan,6.484,0.695470139444849,1.0
2024,Malaysia,30.604,0.8209016494515583,0.0
2024,Mexico,20.772,1.3293172448100543,0.46
2024,Netherlands,3.008,0.08926293455821277,1.0
2024,New Zealand,34.712,0.6744445877965312,0.0
2024,Nigeria,45.948,0.2398460014627527,0.0
2024,Norway,27.16,1.1678422075292316,0.0
2024,Pakistan,44.948,0.2398460014627527,0.0
2024,Peru,42.928,0.2883549798035577,0.0
2024,Philippines,37.804,0.5575188868881016,0.0
2024,Poland,15.352,0.7991561814874728,1.0
2024,Portugal,24.412,1.3659132020381128,0.0
2024,Romania,35.732,0.6495101645203567,0.0
2024,Russian Federation,28.508,0.9281064196009083,0.0
2024,Singapore,4.16,0.46396233055788766,1.0
2024,South Africa,41.92,0.34941143858444973,0.0
2024,Spain,7.58,0.7025484304934108,1.0
2024,Sweden,21.9,1.3390939813034228,0.192
2024,Switzerland,25.38,8.20786673291062,0.372
2024,Thailand,23.04,1.3585960152047103,0.0
2024,Türkiye,16.496,0.8654362597434399,1.0
2024,United Arab Emirates,9.868,0.7726343607565522,1.0
2024,United Kingdom,17.668,7.980257768783218,0.632
2024,United States,22.996,6.495285902546811,0.392
2024,Viet Nam,36.752,0.6229351433103475,0.0
2025,China,2.0,0.0,1.0
2025,India,5.0,0.0,1.0
2025,Switzerland,1.0,0.0,1.0
2025,United Kingdom,4.0,0.0,1.0
2025,United States,3.0,0.0,1.0
